id,name,sex,religion,occupation,social_status,allegiance_last,allegiance_switched,intro_season,intro_episode,intro_time_sec,intro_time_hrs,dth_flag,dth_season,dth_episode,dth_time_sec,dth_time_hrs,censor_time_sec,censor_time_hrs,exp_season,exp_episode,exp_time_sec,exp_time_hrs,featured_episode_count,prominence,dth_description,icd10_dx_code,icd10_dx_text,icd10_cause_code,icd10_cause_text,icd10_place_code,icd10_place_text,top_location,geo_location,time_of_day,,,,,,
100,Waymar Royce,1,9,2,2,3,1,1,1,1,0.00,1,1,1,342,0.10,342,0.10,1,1,342,0.10,1,1.0000,Killed by a white walker in a forest,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.84,Forest,2,1,1,,,,,,
101,Gared Tuttle,1,9,2,2,3,1,1,1,1,0.00,1,1,1,405,0.11,405,0.11,1,1,405,0.11,1,1.0000,Decapitation by a white walker in a forest,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.84,Forest,2,1,1,,,,,,
102,Will,1,9,2,2,3,1,1,1,1,0.00,1,1,1,692,0.19,692,0.19,1,1,692,0.19,1,1.0000,Decapitation by Ned Stark (legal execution) in a field,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.86,Other specified countryside,2,1,1,,,,,,
103,Irri,2,1,2,2,2,2,1,1,135,0.04,1,2,16,48623,13.51,48623,13.51,2,16,48489,13.47,13,1.6250,Strangled to death with a tassel by Doreah in a room in a castle in Qarth,T71,Asphyxiation,X91,"Assault by hanging, strangulation and suffocation",Y92.0,Home,1,2,1,,,,,,
104,Jon Snow,1,4,2,1,3,2,1,1,454,0.13,0,,,,,230800,64.11,8,73,230347,63.99,63,6.9041,,,,,,,,,,,,,,,,
105,Bran Stark,1,4,1,1,1,1,1,1,454,0.13,0,,,,,230800,64.11,8,73,230347,63.99,40,4.3836,,,,,,,,,,,,,,,,
106,Robb Stark,1,3,1,1,1,1,1,1,454,0.13,1,3,29,88074,24.47,88074,24.47,3,29,87621,24.34,22,2.2759,Shot by arrows and stabbed in the abdomen in the wedding hall at The Twins,S31,"Open wound of abdomen, lower back and pelvis",X99.8,Assault by other specified sharp object,Y92.0,Home,1,1,2,,,,,,
107,Rodrik Cassel,1,9,2,2,1,1,1,1,457,0.13,1,2,16,46178,12.83,46178,12.83,2,16,45722,12.70,15,1.8750,Decapitated by Theon Greyjoy in Winterfell castle grounds,S18,Traumatic amputation at neck level,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,2,1,1,,,,,,
108,Rickon Stark,1,4,9,1,1,1,1,1,467,0.13,1,6,59,177403,49.28,177403,49.28,6,59,176937,49.15,14,1.4237,Shot with an arrow through the thorax by Ramsay Bolton in field near Winterfell,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,1,,,,,,
109,Eddard Stark,1,4,1,1,8,1,1,1,467,0.13,1,1,9,28072,7.80,28072,7.80,1,9,27606,7.67,9,1.0000,Decapitated by Ilyn Payne on the steps of the Great Sept of Baelor,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.29,Other specified institution and public administrative area,2,1,1,,,,,,
110,Catelyn Stark,2,3,1,1,1,1,1,1,467,0.13,1,3,29,88106,24.47,88106,24.47,3,29,87640,24.34,24,2.4828,Throat slit by Walder Frey in the wedding hall at The Twins,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,1,2,,,,,,
111,Mordane ,2,3,1,2,8,1,1,1,484,0.13,1,1,9,27966,7.77,27966,7.77,1,9,27483,7.63,7,0.7778,Decapitated by The Lannisters at King's Landing,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
112,Sansa Stark,2,4,1,1,1,2,1,1,484,0.13,0,,,,,230800,64.11,8,73,230317,63.98,59,6.4658,,,,,,,,,,,,,,,,
113,Arya Stark,2,6,2,1,1,2,1,1,485,0.13,0,,,,,230800,64.11,8,73,230316,63.98,59,6.4658,,,,,,,,,,,,,,,,
114,Jory Cassel,1,9,2,2,1,1,1,1,614,0.17,1,1,5,15602,4.33,15602,4.33,1,5,14989,4.16,5,1.0000,Stabbed in the eye by Jamie Lannister in the streets of King's Landing,S06,Intracranial injury,X99.0,Assault by knife,Y92.4,Street and highway,2,1,1,,,,,,
115,Theon Greyjoy,1,5,1,1,1,2,1,1,660,0.18,1,8,70,216997,60.28,216997,60.28,8,70,216338,60.09,46,5.2571,"Impaled with a broken spear by the Night King, while defending Bran Stark, during the Battle of Winterfell",S31,"Open wound of abdomen, lower back and pelvis",X99.8,Assault by other specified sharp object,Y92.0,Home,2,1,2,,,,,,
116,Cersei Lannister,2,9,1,1,4,1,1,1,997,0.28,1,8,72,226072,62.80,226072,62.80,8,72,225076,62.52,61,6.7778,"Crushed by debris within the Red Keep, alongside Jaime Lannister, during the Battle of King's Landing",T14,Injury of unspecified body region,Y36.9,"War operations, unspecified",Y92.0,Home,1,1,1,,,,,,
117,Jaime Lannister,1,9,2,1,4,2,1,1,997,0.28,1,8,72,226072,62.80,226072,62.80,8,72,225076,62.52,54,6.0000,"Crushed by debris within the Red Keep, alongside Cersei Lannister, during the Battle of King's Landing",T14,Injury of unspecified body region,Y36.9,"War operations, unspecified",Y92.0,Home,1,1,1,,,,,,
118,Luwin,1,9,1,2,1,1,1,1,1186,0.33,1,2,20,59936,16.65,59936,16.65,2,20,58751,16.32,14,1.4000,Stabbed (euthanised) by Osha in the forst near Winterfell,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.84,Forest,2,1,1,,,,,,
119,Joffrey Baratheon,1,3,1,1,8,1,1,1,1347,0.37,1,4,32,97592,27.11,97592,27.11,4,32,96246,26.74,25,3.1250,Poisoned with the Strangler at his wedding feast by Olenna Tyrell in King's Landing,T65,Toxic effect of other and unspecified substances,X85,"Assault by drugs, medicaments and biological substances",Y92.0,Home,2,1,1,,,,,,
120,Sandor Clegane,1,9,2,2,8,2,1,1,1347,0.37,1,8,72,225677,62.69,225677,62.69,8,72,224331,62.31,38,4.2222,"Threw himself into a fiery chasm, in order to kill his brother, Gregor Clegane, during the Battle of King's Landing",T14,Injury of unspecified body region,X80,Intentional self-harm by jumping from a high place,Y92.0,Home,2,1,1,,,,,,
121,Hodor,1,9,2,2,1,1,1,1,1371,0.38,1,6,55,166799,46.33,166799,46.33,6,55,165429,45.95,23,2.5091,Ravaged by wights at the door to the cave of the Three-Eyed Raven beyond The Wall,T01,Open wounds involving multiple body regions,Y04,Assault by bodily force,Y92.86,Other specified countryside,2,1,2,,,,,,
122,Robert Baratheon,1,3,1,1,8,1,1,1,1423,0.40,1,1,7,21780,6.05,21780,6.05,1,7,20358,5.66,7,1.0000,Mortally wounded by a wild boar after drinking poisoned wine given to him by Lancel Lannister,S31,"Open wound of abdomen, lower back and pelvis",W55,Bitten or struck by other mammal,Y92.0,Home,1,1,1,,,,,,
123,Myrcella Baratheon,2,3,1,1,8,1,1,1,1499,0.42,1,5,50,150288,41.75,150288,41.75,5,50,148790,41.33,13,1.3000,Poisoned with the Long Farewell after being kissed by Ellaria Sand inside a cabin on a ship leaving Dorne,T65,Toxic effect of other and unspecified substances,X85,"Assault by drugs, medicaments and biological substances",Y92.82,Large area of water,1,1,1,,,,,,
124,Tommen Baratheon,1,3,1,1,8,1,1,1,1499,0.42,1,6,60,180026,50.01,180026,50.01,6,60,178528,49.59,24,2.4000,Committed suicide by jumping from a window in the Red Keep in King's Landing,T14,Injury of unspecified body region,X80,Intentional self-harm by jumping from a high place,Y92.0,Home,2,1,1,,,,,,
125,Tyrion Lannister,1,3,1,1,1,2,1,1,1664,0.46,0,,,,,230800,64.11,8,73,229137,63.65,67,7.3425,,,,,,,,,,,,,,,,
126,Ros,2,9,2,2,8,2,1,1,1674,0.47,1,3,26,78877,21.91,78877,21.91,3,26,77204,21.45,14,1.6154,Shot multiple times by Joffrey with a crossbow in a bedroom in King's landing,T01,Open wounds involving multiple body regions,X99.8,Assault by other specified sharp object,Y92.0,Home,1,1,9,,,,,,
127,Daenerys Targaryen,2,9,1,1,2,1,1,1,1830,0.51,1,8,73,226284,62.86,226284,62.86,8,72,224455,62.35,62,6.8889,Stabbed in the heart with a dagger by Jon Snow following the Battle of King's Landing,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
128,Viserys Targaryen,1,3,1,1,2,1,1,1,1845,0.51,1,1,6,18573,5.16,18573,5.16,1,6,16729,4.65,5,0.8333,Melted metal poured onto head by Khal Drogo inside a Dothraki tent,T29,Burns of multiple body regions,X98,"Assault by steam, hot vapours and hot objects",Y92.0,Home,1,2,2,,,,,,
129,Illyrio Mopatis,1,9,2,1,9,2,1,1,1969,0.55,0,,,,,230800,64.11,8,73,228832,63.56,2,0.2192,,,,,,,,,,,,,,,,
130,Qotho,1,1,2,2,8,1,1,1,1985,0.55,1,1,9,26835,7.45,26835,7.45,1,9,24851,6.90,6,0.6667,Slashed in the face by Jorah Mormont,S01,Open wound of head,X99.0,Assault by knife,Y92.86,Other specified countryside,2,2,1,,,,,,
131,Khal Drogo,1,1,2,2,8,1,1,1,1986,0.55,1,1,10,29961,8.32,29961,8.32,1,10,27976,7.77,9,0.9000,Suffocated by Daenerys Targaryen inside his own tent near Lhazar,T71,Asphyxiation,X91,"Assault by hanging, strangulation and suffocation",Y92.86,Other specified countryside,1,2,2,,,,,,
132,Mago,1,1,2,2,8,1,1,1,2046,0.57,1,1,8,23473,6.52,23473,6.52,1,8,21428,5.95,2,0.2500,Throat slashed and tongue ripped out by Khal Drogo near Lhazar,S11,Open wound of neck,X99.0,Assault by knife,Y92.86,Other specified countryside,2,2,1,,,,,,
133,Benjen Stark,1,4,2,1,3,1,1,1,2267,0.63,1,7,66,201490,55.97,201490,55.97,7,66,199224,55.34,6,0.6364,Overwhelmed fighting wights next to an ice lake in the mountains beyond The Wall,T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.83,Beach,1,1,1,,,,,,
134,Jorah Mormont,1,4,2,1,2,2,1,1,2936,0.82,1,8,70,217270,60.35,217270,60.35,8,70,214335,59.54,51,5.8286,"Stabbed multiple times by wights, while defending Daenerys Targaryen, during the Battle of Winterfell",T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,2,1,2,,,,,,
135,Doreah,2,9,2,2,8,2,1,2,3538,0.98,1,2,20,60783,16.88,60783,16.88,2,19,57246,15.90,11,1.1579,Locked inside Xaro's vault to die,T74,Maltreatment syndromes,Y07,Other maltreatment syndromes,Y92.0,Home,1,2,1,,,,,,
136,Rast,1,9,2,2,3,1,1,2,4796,1.33,1,4,35,106588,29.61,106588,29.61,4,34,101793,28.28,12,1.4118,Mauled by a direwolf in the forest near Craster's Keep,T14,Injury of unspecified body region,W55,Bitten or struck by other mammal,Y92.84,Forest,2,1,2,,,,,,
137,Catspaw Assassin,1,9,2,2,8,1,1,2,5055,1.40,1,1,2,5094,1.42,5094,1.42,1,1,40,0.01,1,1.0000,Mauled by a direwolf (throat ripped open) in a bedroom at Winterfell,S11,Open wound of neck,W55,Bitten or struck by other mammal,Y92.0,Home,1,1,2,,,,,,
138,Ilyn Payne,1,9,2,2,4,1,1,2,5754,1.60,0,,,,,230800,64.11,8,72,225047,62.51,4,0.4444,,,,,,,,,,,,,,,,
139,Mycah,1,9,2,2,9,1,1,2,5832,1.62,1,1,2,6332,1.76,6332,1.76,1,1,501,0.14,1,1.0000,Killed by Sandor Clegane at the Cross Roads,T14,Injury of unspecified body region,Y09,Assault by unspecified means,Y92.4,Street and highway,2,1,2,,,,,,
140,Royal Steward,1,9,2,2,8,1,1,3,6465,1.80,0,,,,,230800,64.11,8,71,224336,62.32,4,0.4507,,,,,,,,,,,,,,,,
141,Petyr Baelish,1,9,1,1,1,2,1,3,6645,1.85,1,7,67,205428,57.06,205428,57.06,7,65,198784,55.22,41,4.4154,Throat slit by Arya Stark with the Valyrian steel dagger inside Winterfell,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
142,Renly Baratheon ,1,3,1,1,8,1,1,3,6645,1.85,1,2,15,42836,11.90,42836,11.90,2,13,36192,10.05,8,1.2308,Stabbed in the chest by a demon birthed by Melisandre in a tent in a field near the Stormlands,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,1,1,2,,,,,,
143,Varys,1,9,1,1,1,2,1,3,6645,1.85,1,8,72,222437,61.79,222437,61.79,8,70,215793,59.94,46,5.2571,"Burned alive by Drogon, on the orders of Daenerys Targaryen, for treason",T29,Burns of multiple body regions,Y35.5,Legal execution,Y92.83,Beach,2,1,2,,,,,,
144,Pycelle,1,9,1,2,4,1,1,3,6649,1.85,1,6,60,179409,49.84,179409,49.84,6,58,172761,47.99,31,3.2069,"Stabbed repeatedly by Qyburn's ""little birds"" in a room at King's Landing",T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
145,Old Nan,2,9,2,2,1,1,1,3,7271,2.02,1,1,4,12690,3.53,12690,3.53,1,2,5420,1.51,2,1.0000,Presumed to have passed away peacefully from old age in her bed at Winterfell,R99,Other ill-defined and unspecified causes of mortality,,,,,1,1,9,,,,,,
146,Jeor Mormont,1,4,2,2,3,1,1,3,7609,2.11,1,3,24,72279,20.08,72279,20.08,3,22,64671,17.96,12,1.6364,"Stabbed in the back by Rast, then stabbed repeatedly in the chest at Craster's Keep",S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,2,,,,,,
147,Grenn,1,9,2,2,3,1,1,3,7611,2.11,1,4,39,117783,32.72,117783,32.72,4,37,110173,30.60,21,2.2703,Killed by wildling giant in Castle Black tunnel,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,1,1,2,,,,,,
148,Alliser Thorne,1,9,2,2,3,1,1,3,7611,2.11,1,6,53,160398,44.56,160398,44.56,6,51,152788,42.44,19,2.2353,Executed by hanging by Jon Snow for treason at Castle Black,T71,Asphyxiation,Y35.5,Legal execution,Y92.12,Military camp,2,1,1,,,,,,
149,Pypar,1,9,2,2,3,1,1,3,7621,2.12,1,4,39,116761,32.43,116761,32.43,4,37,109141,30.32,12,1.2973,Shot through the neck with an arrow by Ygritte at Castle Black,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,2,1,2,,,,,,
150,Lancel Lannister,1,3,2,1,8,2,1,3,8098,2.25,1,6,60,179691,49.91,179691,49.91,6,58,171594,47.67,16,1.6552,"Stabbed in the back by Arthur, then incinerated by wildfire explosion in King's Landing's sewage system",T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.88,Other specified place of occurrence,1,1,1,,,,,,
151,Barristan Selmy ,1,9,2,1,2,2,1,3,8106,2.25,1,5,44,133379,37.05,133379,37.05,5,42,125274,34.80,24,2.8571,Stabbed repeately in the thorax and lower extremities by the Sons of the Harpy in the city streets of Meereen,T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.4,Street and highway,2,2,1,,,,,,
152,Rakharo,1,1,2,2,2,2,1,3,8386,2.33,1,2,12,34805,9.67,34805,9.67,2,10,26420,7.34,6,1.2000,Decaptiated by unknown rival khalasar in the desert,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.85,Desert,9,2,9,,,,,,
153,Yoren,1,9,2,2,3,1,1,3,8782,2.44,1,2,13,39784,11.05,39784,11.05,2,11,31003,8.61,7,1.2727,Stabbed in the thoracic inlet by Armory Lorch and other men in a field near Harrenhal,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,2,,,,,,
154,Aemon,1,4,1,1,3,1,1,3,9214,2.56,1,5,47,139876,38.85,139876,38.85,5,45,130663,36.30,11,1.2222,Died peacefully in his bed from old age in his bedroom at Castle Black,R99,Other ill-defined and unspecified causes of mortality,,,,,1,1,2,,,,,,
155,Syrio Forel,1,6,2,2,1,1,1,3,9411,2.61,1,1,8,22317,6.20,22317,6.20,1,6,12907,3.59,3,0.5000,Killed by Meryn Trant in a sword fight at his residence in King's Landing,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
156,Samwell Tarly,1,4,1,1,1,2,1,4,9918,2.76,0,,,,,230800,64.11,8,70,220883,61.36,48,5.4857,,,,,,,,,,,,,,,,
157,Janos Slynt,1,9,2,2,3,2,1,4,10615,2.95,1,5,43,129619,36.01,129619,36.01,5,40,119005,33.06,15,1.8750,Beheaded with Longclaw for insubordination by Jon Snow at Castle Black,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.12,Military camp,2,1,1,,,,,,
158,Hugh,1,9,2,2,8,1,1,4,11232,3.12,1,1,4,12316,3.42,12316,3.42,1,1,1085,0.30,1,1.0000,Killed by a splintered lance through the neck while jousting with Gregor Clegane in King's Landing,S11,Open wound of neck,X99.8,Assault by other specified sharp object,Y92.3,Sports and athletics area,2,1,1,,,,,,
159,Tobho Mott,1,9,2,2,9,1,1,4,11284,3.13,0,,,,,230800,64.11,8,70,219517,60.98,2,0.2286,,,,,,,,,,,,,,,,
160,Gendry Baratheon,1,9,2,1,1,2,1,4,11289,3.14,0,,,,,230800,64.11,8,70,219512,60.98,24,2.7429,,,,,,,,,,,,,,,,
161,Gregor Clegane,1,9,2,2,4,1,1,4,12228,3.40,1,8,72,225677,62.69,225677,62.69,8,69,213450,59.29,24,2.7826,"Thrown into a fiery chasm by his brother, Sandor Clegane, during the Battle of King's Landing",T14,Injury of unspecified body region,Y01,Assault by pushing from high place,Y92.0,Home,2,1,1,,,,,,
162,Marillion,1,9,2,2,9,1,1,4,12522,3.48,0,,,,,230800,64.11,8,70,218279,60.63,4,0.4571,,,,,,,,,,,,,,,,
163,Bronn,1,9,2,1,1,2,1,4,12557,3.49,0,,,,,230800,64.11,8,70,218244,60.62,36,4.1143,,,,,,,,,,,,,,,,
164,Loras Tyrell,1,3,2,1,8,2,1,5,12974,3.60,1,6,60,179691,49.91,179691,49.91,6,56,166718,46.31,20,2.1429,Burned alive in a wildfire explosion in the Great Sept of Baelor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,1,1,,,,,,
165,Vardis Egen,1,9,2,2,8,1,1,5,14283,3.97,1,1,6,17951,4.99,17951,4.99,1,2,3669,1.02,2,1.0000,Stabbed in the thoracic inlet (and thrown down the Moon Door) by Bronn during Tyrion's (first) trial by combat at the Eyrie,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
166,Robin Arryn,1,9,1,1,1,1,1,5,14643,4.07,0,,,,,230800,64.11,8,69,216158,60.04,9,1.0435,,,,,,,,,,,,,,,,
167,Lysa Arryn,2,9,1,1,8,2,1,5,14643,4.07,1,4,37,112268,31.19,112268,31.19,4,33,97626,27.12,5,0.6061,Fell to her death after being pushed out the Moon Door at the Eyrie by Petyr Baelish,T04,Crushing injuries involving multiple body regions,Y01,Assault by pushing from high place,Y92.0,Home,2,1,1,,,,,,
168,Mord,1,9,2,2,8,1,1,5,14758,4.10,0,,,,,230800,64.11,8,69,216043,60.01,2,0.2319,,,,,,,,,,,,,,,,
169,Barra,2,9,9,2,9,1,1,5,15399,4.28,1,2,11,33763,9.38,33763,9.38,2,7,18365,5.10,2,0.5714,Murdered by Janos Slynt with a knife inside brothel at King's Landing,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.5,Trade and service area,1,1,1,,,,,,
170,Mhaegen,2,9,2,2,8,1,1,5,15399,4.28,0,,,,,230800,64.11,8,69,215402,59.83,2,0.2319,,,,,,,,,,,,,,,,
171,Osha,2,4,2,2,1,2,1,6,16152,4.49,1,6,54,163081,45.30,163081,45.30,6,49,146930,40.81,16,1.9592,Stabbed in the neck by Ramsay Bolton at Winterfell,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
172,Beric Dondarrion,1,2,2,1,8,2,1,6,17431,4.84,1,8,70,215757,59.93,215757,59.93,8,65,198327,55.09,13,1.6000,"Stabbed multiple times by wights, while protecting Arya Stark, during the Battle of Winterfell",T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,1,1,2,,,,,,
173,Tywin Lannister,1,3,1,1,4,1,1,7,18607,5.17,1,4,40,121252,33.68,121252,33.68,4,34,102646,28.51,26,3.0588,Shot in the stomach and heart by Tyrion Lannister with a crossbow whilst on latrine in his residence at King's Landing,T01,Open wounds involving multiple body regions,X99.8,Assault by other specified sharp object,Y92.0,Home,1,1,2,,,,,,
174,Armeca,2,9,2,2,8,1,1,7,19067,5.30,0,,,,,230800,64.11,8,67,211734,58.82,4,0.4776,,,,,,,,,,,,,,,,
175,Wineseller Assassin,1,9,2,2,8,1,1,7,20234,5.62,1,1,7,21780,6.05,21780,6.05,1,1,1547,0.43,1,1.0000,Died from exhaustion from being tied and dragged naked by a horse on the road to Lhazar,T74,Maltreatment syndromes,Y07,Other maltreatment syndromes,Y92.4,Street and highway,2,2,9,,,,,,
176,Luke ,1,9,2,2,3,1,1,7,20505,5.70,0,,,,,230800,64.11,8,67,210296,58.42,1,0.1194,,,,,,,,,,,,,,,,
177,Dareon ,1,9,2,2,3,1,1,7,20692,5.75,0,,,,,230800,64.11,8,67,210109,58.36,1,0.1194,,,,,,,,,,,,,,,,
